,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
39,2-s2.0-85145300994,10.1016/j.energy.2022.126490,S036054422203376X,,A novel methanol-electricity cogeneration system based on the integration of water electrolysis and plasma waste gasification,ar,Article,Wang Y.,60159689;60021227;126190411,"State Grid Liaoning Electric Power Supply Co., Ltd.;North China Electric Power University;Ltd.",Shenyang;Beijing;Nanjing,China;China;China,7,"Wang, Yuting;Chen, Heng;Qiao, Shichao;Pan, Peiyuan;Xu, Gang;Dong, Yuehong;Jiang, Xue",56267909600;56427343900;57734746100;57191915801;55726324100;57734746200;57189311597,60021227;60021227;60021227;60021227;60021227;126190411;60159689,2023-03-15 00:00:00,15 March 2023,Energy,03605442,29348,,Journal,267,,126490,,"A new methanol-electricity cogeneration system consisting of plasma gasification, alkaline water electrolysis, methanol synthesis and supercritical CO2 cycle was designed to achieve near zero emission resource utilization of medical waste. The newly designed methanol-electricity cogeneration system uses synthesis gas converted from medical waste by plasma gasification and hydrogen obtained by water electrolysis for methanol synthesis. It uses a supercritical CO2 cycle to improve its performance. In addition, the waste heat carried by each flow unit in the process is used to provide domestic hot water for residents. Based on a model built with Aspen Plus and Matlab software, the system's advantages are examined in terms of thermodynamics and economics, and the effects of the main parameters are studied using a 4.00 kg/s plasma gasifier as an example. The results show that the system can achieve a methanol yield of 6.32 kg/s, an energy efficiency of 67.42%, and an exergy efficiency of 68.60%. The main source of irreversibility can be traced to three components, the gasifier, the electrolyzer, and the methanol reactor, which account for 75.31% of the total exergy destruction. It only takes 3.53 years to recover the initial investment in the proposed system, and over a 20-year lifetime, the waste-to-energy project yields a net present value of 355,318.47 k$.",Chemical power cogeneration | Energy performance evaluation | Plasma gasification | Techno-economic assessment | Water electrolysis,11,0,,,NSFC,52106008,National Natural Science Foundation of China
40,2-s2.0-85145502022,10.1007/s11356-022-25023-z,,36596974,"Investigating the association among CO2 emissions, renewable and non-renewable energy consumption in Uzbekistan: an ARDL approach",ar,Article,Apergis N.,60071665;60010667,Urgench State University;University of Piraeus,Urganch;Piraeus,Uzbekistan;Greece,4,"Apergis, Nicholas;Kuziboev, Bekhzod;Abdullaev, Ilyos;Rajabov, Alibek",6701803017;58724015800;57221666711;58041462700,60010667;60071665;60071665;60071665,2023-03-01 00:00:00,March 2023,Environmental Science and Pollution Research,09441344,23918,16147499,Journal,30,14,,39666-39679,"This paper examines for the first time the relationship between CO2 emissions and the consumption of renewable and non-renewable energy in Uzbekistan, spanning the period 1985–2020. The analysis uses the Autoregressive Distributed Lags (ARDL) model to estimate the long-run dynamic multipliers and short-run elasticity coefficients of energy consumption variables. Economic factors, such as GDP, are excluded in the analysis as they may cause multicollinearity problems. The empirical results document that in the short- and long-run, hydropower (renewable) energy consumption negatively impacts CO2 emissions per capita, showing a unidirectional causal effect. As regards with non-renewable energy consumption, natural gas and oil energy consumption have a positive impact on CO2 emissions per capita both in the short and long run. Coal consumption positively impacts CO2 emissions in the short run, while it is negative in the long run. Policy measures to enhance the collection of energy from additional renewable energy sources, in particular hydropower, should be taken into account in order to increase the share of renewable energy, and thus, to compensate non-renewable energy consumption which is the main contributor to CO2 emissions. Moreover, solar and wind energy should be explicitly taken into consideration as an additional renewable energy source, which has the lack of attention by policymakers. Furthermore, policy actions, such as the involvement of the private sector into renewable energy projects and the implementation of effective carbon tax policies, could be further options to reduce CO2 emissions.",ARDL model | Bound test | CO2 emissions | Coal | Gas | Hydropower | Oil | Uzbekistan,34,0,,,UNIPD,undefined,Università degli Studi di Padova
42,2-s2.0-85186619985,10.12989/csm.2023.12.6.531,,,Landfill gas–landfill degassing system and methods of using landfill gas at Sarajevo landfill,ar,Article,Imamovic D.,60068811,Univerzitet u Sarajevu,Sarajevo,Bosnia and Herzegovina,2,"Imamovic, Dzevad;Serdarevic, Amra",57221261243;57207890650,60068811;60068811,2023-01-01 00:00:00,2023,Coupled Systems Mechanics,22342184,21100826245,22342192,Journal,12,6,,531-537,"Municipal solid waste landfills are unpredictable bioreactors which in cases of mishandling and bad supervision presents numerous risks. The key to municipal waste landfills is to approach them from the point of prevention of the possible consequences, which means using methods of organized waste disposal, and also utilizing landfill gas, as an unavoidable consequence with disposal of municipal solid waste with a high share of biodegradable organic matter. This paper presents an overview about problems of solid municipal waste management, type and composition of waste, and an overview of waste management condition. Further, the problem of landfill and landfill gasses is described with the calculation models of landfill production, as well as the use of the SWM GHG Calculator and LandGEM software on a specific example of gas production for the central zone at Sarajevo landfill “Smiljevici”. Main focus of this thesis is the analysis of potentials of greenhouse gas emission reduction measures from the waste management. Overview of the best available techniques in waste management is presented as well as the methodology used for calculations. Scenarios of greenhouse gas emission reduction in waste management were defined so that emissions were calculated using the appropriate model. In the final section of the paper, its description of the problem of collection and utilization the landfill gas at the sanitary landfill “Smiljevici”, and implementation of the system for landfill gas collection and solution suggestion for the gasification and exploitation of gas. Energy, environmental and economic benefits can be accomplished by utilizing municipal solid waste as fuel in industry and energy and moreover by utilizing energy generation from landfill gas, which this thesis emphasizes.",benefits | costs | Landfill | landfill gas | landfill gas collection | landfill gas energy projects | waste greenhouse gas emissions,1,0,,,,undefined,
51,2-s2.0-85177683175,10.1007/s10668-023-04186-w,,,"Identifying the roles of governance, ICT, and financial development to facilitate renewable energy generation in BRICS countries",ar,Article,Jiang S.,60194953;60018205;60016141;127123566,University of Religions and Denominations;Xiamen University;Shanghai International Studies University;Command and Staff College Quetta,Qom;Xiamen;Shanghai;Quetta,Iran;China;China;Pakistan,3,"Jiang, Sheng;Kakar, Allauddin;Khan, Anwar",58713229300;57225362770;57189376221,60016141;127123566;60018205-60194953,2023-01-01 00:00:00,2023,"Environment, Development and Sustainability",1387585X,20902,15732975,Journal,,,,,"As significant emerging players, BRICS economies encounter the complex task of harmonizing economic expansion with ecological sustainability. Although renewable energy offers the potential to decrease greenhouse gas emissions, broaden energy resources, and reinforce energy security within BRICS nations, this dimension remains relatively unexplored. This study addresses a research gap, unveiling how governance, “information and communication technology (ICT)”, and financial development impact renewable energy generation in BRICS from 2000 to 2020. Employing the STIRPAT framework, the study takes a comprehensive, systematic econometric approach. Empirical findings show that ICT trade can effectively boost renewable energy production in BRICS nations. Good governance plays a pivotal role in connecting ICT with renewable energy generation. Conversely, financial development negatively affects renewable energy production, while economic growth and foreign investments enhance it. Causality analysis supports a feedback loop between economic growth and renewable energy, but there is a one-way link between renewable energy, financial development, ICT, and foreign investments. The study underscores the importance of making a clean environment a top governmental priority to achieve environmental goals: to enhance renewable energy in BRICS, bolster governance in energy projects, and concurrently implement green ICT strategies to facilitate renewable energy initiatives.",BRICS | Clean energy | Environmental sustainability | Green initiatives | Technological advancements,2,0,,,,undefined,
58,2-s2.0-85161918962,10.1007/s12155-023-10621-7,,,Anaerobic Digestion: Advance Techniques for Enhanced Biomethane/Biogas Production as a Source of Renewable Energy,ar,Article,Dhull P.,60014344;60001406;108191272,"ICAR - Indian Agricultural Research Institute, New Delhi;Guru Jambheshwar University of Science &amp; Technology;Sardar Swaran Singh National Institute of Renewable Energy",New Delhi;Hisar;Kapurthala,India;India;India,6,"Dhull, Paramjeet;Lohchab, Rajesh Kumar;Kumar, Sachin;Kumari, Mikhlesh;Shaloo, ;Bhankhar, Anil Kumar",58181953700;36504400300;55995955400;57210803592;57215689200;58312961400,60001406;60001406;108191272;60001406;60014344;60001406,2023-01-01 00:00:00,2023,Bioenergy Research,19391234,14700154701,19391242,Journal,,,,,"This is a prime time to develop and implement the “waste to energy” projects across the globe to attain a sustainable environment. Anaerobic digestion (AD) has attracted the scientific community due to its simplicity and easiness to handle, and has the potential to utilize any kind of organic waste to produce a mixture of combustible gases, i.e., biogas and digested slurry, which has further applications in agriculture, solid biofuels, and purification. The process, in turn, reduces the local waste and helps in recycling in a manner that reduces greenhouse gas (GHG) emission, conserves the resources, and establishes a circular economy in the time of undetermined future for the production of energy and safe disposal of the waste. However, the conventional processes encounter with the low biogas yield and long retention time, which discourage the developers. To enhance biogas yield and quality, the momentum of research has increased towards implementation of advanced techniques for development of efficient processes. The present article summarizes the effect of different operational parameters on AD and impact of advanced techniques for enhanced biomethane/biogas. The article further covers the life cycle assessment (LCA) and techno-economic aspect (TCA) of the AD process. This will provide the comparison of different advanced techniques in terms of biomethane/biogas yield. Graphical Abstract: [Figure not available: see fulltext.]",Biogas | Carbon-based additives | Direct interspecies electron transfer (DIET) | Lignocellulosic feedstock | Methane yield | Pre-treatment,7,0,,,,undefined,
65,2-s2.0-85136531392,10.1016/j.resourpol.2022.102925,S0301420722003695,,How Economic Performance of OECD economies influences through Green Finance and Renewable Energy Investment Resources?,ar,Article,Zhang Y.,60268376,Henan Finance University,Zhengzhou,China,1,"Zhang, Yajun",57855249700,60268376,2022-12-01 00:00:00,December 2022,Resources Policy,03014207,110031,,Journal,79,,102925,,"Recently, the economic and environmental performance has become a global requirement, and green finance and renewable energy have been considered the foremost solutions for researchers’ attention. Thus, the current study examines the potential relationship between the variables of green finance, investment in renewable energy projects, economic performance, and the environmental performance of OECD countries. The study has used secondary data downloaded from world-renowned reliable resources like the World Bank websites, the OECD data sets from the official website of the countries, and IRENA. The researcher has used structural equation modeling in this study, unlike previous empirical research trends. The analysis has revealed that green finance and investment in renewable energy sectors are responsible for economic growth. To be more precise, the results can be summarized to explain that in the OECD region Green Finance and investments in the renewable energy sector are responsible for generating positive economic outputs in terms of an increase in trade openness, attraction of FDI, and GDP. Furthermore, it is also shown that reducing greenhouse gas emissions and carbon dioxide production and emission can lead to better environmental performance. The environmental performance is also a positive moderator between the relations of green finance with the economic performance and renewable energy investments and economic output in the OECD countries. The outcomes of the current study will be helpful for the policy makers and practitioners in OECD countries and other similar regions in the world in terms of proper planning of their investments aimed toward achieving sustainable economic growth and environmental sustainability.",Economic growth | Economic performance | Environmental performance | Foreign direct investment | Renewable energy investments,34,0,,,,undefined,
66,2-s2.0-85142714900,10.3390/su142214829,,,Investigating the Index of Sustainable Development and Reduction in Greenhouse Gases of Renewable Energies,ar,Article,Ponkratov V.V.,60108639;60071323;60069397;60033469;60032982;60031941;128913861,Al-Mustaqbal University;Eastern Mediterranean University;Universitas Sumatera Utara;Bauman Moscow State Technical University;Financial University under the Government of the Russian Federation;China Medical University Hospital;Badan Penelitian dan Pengembangan Daerah Provinsi Lampung,Hillah;Famagusta;Medan;Moscow;Moscow;Taichung;Bandar Lampung,Iraq;Turkey;Indonesia;Russian Federation;Russian Federation;Taiwan;Indonesia,6,"Ponkratov, Vadim V.;Kuznetsov, Alexey S.;Muda, Iskandar;Nasution, Miftahul Jannah;Al-Bahrani, Mohammed;Aybar, Hikmet",56490924200;34870046100;57219085312;57983060000;57201312799;6602741347,60032982;60033469;60069397;128913861;60108639;60071323-60031941,2022-11-01 00:00:00,November 2022,Sustainability (Switzerland),,21100240100,20711050,Journal,14,22,14829,,"Considering the limited resources of fossil energy and the problems caused by the emission of greenhouse gases, it is necessary to pay more attention to renewable energies, because in this way, the goals of sustainable development can be achieved. The importance of renewable energies in sustainable development, reducing greenhouse gases and increasing energy security on the one hand, and the need for financial resources and large investments for renewable energy projects on the other hand, doubles the role and importance of financial development in the development of renewable energies. Considering the importance of this issue, the present study examines the impact of the development of modern facilities and renewable energy technology. In this study, dynamic interactions in the Sustainable-Energy-Energy Development Pattern of carbon dioxide are investigated using the Bayesian Vector Auto Regression (BVAR) method. One of the most important indicators for evaluating sustainable development is the modified pure arrangement (GS). For this purpose, this index was used as a sustainable development index. The results indicate that the effect of positive impulse on renewable and renewable energy consumption on sustainable development in Uganda is positive. In addition, the positive shock of renewable and renewable energy consumption increases the emissions of carbon dioxide pollutants to a different extent. In addition, the effect of the growth of sustainable development index on renewable energy consumption and renewal energy consumption is (CO2) negative. The research results show that based on the RMSE criterion, the former SSVS-Full function was used to investigate the impact of renewable energy consumption on sustainable development and the independent Normal-Wish art function was used. Therefore, in this research, the dynamic relationships between sustainable development, energy consumption (separately from renewable and non-renewable energy) and CO2 emissions are investigated.",greenhouse gases | renewable energy | sustainable development,4,1,publisherfullgold,Gold,,undefined,
78,2-s2.0-85123212698,10.1016/j.fuel.2021.123094,S0016236121029549,,Recent optimization and panelizing measures for green energy projects; insights into CO<inf>2</inf> emission influencing to circular economy,ar,Article,Dar A.A.,60069726;60022345;60005353;60003970;60001317;127607332;125632345,Shaanxi University of Science and Technology;Liaoning University;College of Sciences;Zhejiang University;Universitatea Politehnica Timisoara;NGCEF;Wuxi University,Xinyang;Shenyang;Riyadh;Hangzhou;Timisoara;;Wuxi,China;China;Saudi Arabia;China;Romania;Australia;China,7,"Dar, Afzal Ahmed;Hameed, Javaria;Huo, Chunhui;Sarfraz, Muddassar;Albasher, Gadah;Wang, Chuanyi;Nawaz, Ahsan",57203839736;57221093287;57205768708;57197751650;57204600064;55796485900;57208438419,60069726;60022345;60022345;125632345-60001317;60005353;60069726;60003970-127607332,2022-04-15 00:00:00,15 April 2022,Fuel,00162361,16313,,Journal,314,,123094,,"Green energy projects (including wind, solar, biomass, hydro projects) are the major constituents of biofuel projects and primary need of global world which are directly concerned with economic growth and gross domestic products (GDP) development. In last few decades, fossil fuel consumption and carbon dioxide (CO2) emission have been increased due to more economic growth and growing population. Moreover, the objective of this research is to assess the consequence of biofuel including natural gas, environmentally friendly power projects (renewable-energy), and thermal power utilization on financial turn of events including GDP and CO2 in ten top countries. Multivariate climate countries with ubiquitous CO2 emission during the period of 1990–2018 were selected to examine the long-run flexibility as well as the path of causality between different variables, the panel co-integration test, panel heterogonous Dumitrescu and Hurlin causality evaluation and panel completely modified ordinary least squares were employed. The panel co-reconciliation test verify that variables have a long-run equilibrium correlation in their relationships. Long haul versatility and causality tests show that natural gas doesn't add to financial development or CO2 decreases. According to this present study, results can help to develop conservative policies regarding long-run and sustainable energy and design in energy development.",Biofuel | CO  emissions 2 | Gross Domestic Product (GDP) | Natural gas | Nuclear energy | Panel data analysis | Renewable energy,71,0,,,KSU,2021M693857,King Saud University
90,2-s2.0-85126797937,10.15196/RS120101,,,"Analysis of selected economic factor impacts on CO<inf>2</inf> emissions intensity: A case study from Jordan, 1990–2015",ar,Article,Jaber M.M.,60011719,Miskolci Egyetem,Miskolc,Hungary,1,"Jaber, Mohammad M.",26429492600,60011719,2022-01-01 00:00:00,2022,Regional Statistics,20639538,21100455415,20648243,Journal,12,1,,193-208,"This study investigates the possible impacts of selected economic factors on carbon dioxide (CO2) emissions intensity in Jordan. The energy industry is one of the main sectors that have an impact on greenhouse gas emissions in Jordan, with a total share of 73% of emissions emanating from only this sector according to the 2006 emissions inventory. In this study, energy intensity, gross domestic product (GDP) per capita, labour force, and primary energy consumption are analysed using the Granger causality test and the path analysis for identifying the factors that mostly impact energy intensity vis-à-vis CO2 emissions intensity. The analysis is undertaken in order to study the changes in energy intensity and the possible impacts on CO2 emissions intensity. The results show that energy intensity has a direct impact on CO2 emissions intensity, as proven by both path analysis and the Granger causality test. Moreover, the most effective indirect path is that of running through the labour force, followed by the path that contains GDP per capita. In conclusion, while considering the necessity of Jordan’s economic development, there should be a focus on sustainability, improving technology, and supporting renewable energy projects.",Causality analysis | Climate change | Energy intensity | Jordan | Path analysis,6,1,publisherfree2read,Bronze,,undefined,
103,2-s2.0-85099483352,10.1016/j.renene.2021.01.019,S0960148121000252,,Financing clean energy projects: New empirical evidence from major investment countries,ar,Article,Raghutla C.,60107356;60029516;60018038;60016835,National Institute of Technology Puducherry;University of Hyderabad;Nankai University;Beijing Institute of Technology,Puducherry;Hyderabad;Tianjin;Beijing,India;India;China;China,4,"Raghutla, Chandrashekar;Shahbaz, Muhammad;Chittedi, Krishna Reddy;Jiao, Zhilun",57212199333;57218886081;56144638800;57209368405,60107356;60016835;60029516;60018038,2021-05-01 00:00:00,May 2021,Renewable Energy,09601481,27569,18790682,Journal,169,,,231-241,"Globally, all countries are worried about rising carbon emissions (greenhouse gas emissions), it leads environmental degradation, increase sea level and reduce agriculture output due to large use of traditional energy resource. As a result, international organizations have begun to pressurize countries to reduce their carbon emissions by increasing the use of clean energy sources. In such circumstances, this study examines the extent to which foreign direct investment (FDI) inflows, stock market capitalization, and research & development expenditures affect clean energy demand in the major investment countries, spanning the period from 1996 to 2017. The empirical results of long-run elasticities show that FDI inflows and research & development expenditures play a considerable role in promoting clean energy consumption. Further, it is indicated that clean energy consumption has a negative effect on carbon emissions, but a positive effect on economic growth. Research & development expenditures and FDI inflows, meanwhile, have a significant negative impact on CO2 emissions. Based on the results, the study recommends that policy makers in the major investment countries should understand that it is worth investing research & development expenditures as it is encouraging the use of clean energy and supporting lower carbon emissions. These empirical findings offer increased understanding for policy makers, enabling them to utilize research & development expenditures as a tool in the energy sector for the improvement of environmental quality.",Clean energy consumption | Emissions | Research &amp; development expenditures,54,0,,,,undefined,
104,2-s2.0-85099262332,10.1016/j.worlddev.2020.105347,S0305750X20304757,,Leveraging private investment to expand renewable power generation: Evidence on financial additionality and productivity gains from Uganda,ar,Article,Probst B.,60120039;114105556,"Cambridge Centre for Environment, Energy and Natural Resource Governance;German Development Bank (KfW)",Cambridge;,United Kingdom;Germany,4,"Probst, Benedict;Westermann, Lotte;Anadón, Laura Díaz;Kontoleon, Andreas",57216899282;56771236000;36694913400;6507535776,60120039;114105556;60120039;60120039,2021-04-01 00:00:00,April 2021,World Development,0305750X,30060,18735991,Journal,140,,105347,,"Effectively mitigating climate change entails a quick upscaling and redirection of electricity infrastructure investment towards clean power. Given that the bulk of greenhouse gas emissions increases until 2050 will come from low- and middle-income countries, finding cost-effective ways to mitigate climate change while meeting development targets is essential. However, recent research has shown some of the limitations of broad financing mechanisms, such as the Clean Development Mechanism (CDM) and existing carbon markets. This has resulted in a growing interest in designing novel investment support schemes, such as modifications of feed-in tariffs (FiTs) that may be more cost effective and better targeted towards particular outcomes when compared to traditional deployment subsidies or broad financing mechanisms. We evaluate the design and outcomes of one such novel support schemes: the GET FiT (Global Energy Transfer Feed-in Tariff) investment support scheme in Uganda, which has attracted ~ 453 million USD in private sector investment for 17 small-scale renewable energy projects (solar, hydro, bagasse) in only three years. Using financial modelling on detailed project-level data, we find that most projects were additional and would therefore not have been built without the subsidy. In addition, using firm-level panel data, we show that power outages hamper manufacturing performance in Uganda. In the absence of reliable outage-data for the entire Ugandan territory, we use nightlight variations to proxy changes in outages. We show that outages have declined substantially since the introduction of GET FiT. Yet, our analysis also demonstrates that programmes to incentivise additional renewable generation in developing countries funded internationally or domestically should liaise closely with grid authorities to ensure that supply does not outstrip demand.",Climate policy | Developing countries | Economic productivity | Feed-in-tariff | Financial additionality | Renewable energy,20,1,repositoryvor,Green,,undefined,
108,2-s2.0-85097001410,10.1016/j.energy.2020.119393,S0360544220325007,,Power generation from municipal solid waste landfilled in the Beijing-Tianjin-Hebei region,ar,Article,Cudjoe D.,60016835,Beijing Institute of Technology,Beijing,China,3,"Cudjoe, Dan;Han, Myat Su;Chen, Weiming",57215588332;57217369663;57192196054,60016835;60016835;60016835,2021-02-15 00:00:00,15 February 2021,Energy,03605442,29348,,Journal,217,,119393,,"The present study assesses the electricity generation potential of landfill gas to energy projects in the Beijing-Tianjin-Hebei region. The study used historical data on municipal solid waste disposed of in landfills in the Beijing-Tianjin-Hebei region from 2004 to 2018. The Landfill Gas Emission Model (LandGEM) software version 3.02 was used to evaluate the methane generation potential of the municipal solid waste. An economic feasibility analysis was conducted on the landfill gas to energy projects using economic indicators such as the net present value, investment payback period, and levelized cost of energy. Also, a sensitivity analysis was performed to determine the influence of variation in the discount rate, landfill gas collection efficiency, capacity factor, and power generation efficiency on the economic viability of the project. The main findings of the study show that the total electricity generation potential from landfill methane in the region is 12,525.2 GWh. The highest total electricity generation potential is in Beijing, while the lowest is in Tianjin. It was realized from the economic analysis that the project is feasible at all the locations in the Beijing-Tianjin-Hebei region. However, the project is highly feasible in Beijing, with a more positive net present value, lower investment payback period, and lower levelized cost of energy. It was found that the investment payback period of the project in the region is 11.3 y to 14.3 y, and the levelized cost of energy is $0.1402/kWh to $0.2260/kWh. The sensitivity analysis shows that at a discount rate exceeding 15%, the project is infeasible in the Beijing municipality and Hebei province, while it is infeasible at a discount rate of more than 10% in Tianjin. This study could provide technical guidance for investment in landfill gas to energy projects in the Beijing-Tianjin-Hebei region and other parts of China.",Beijing-tianjin-hebei region | Economic feasibility | Electricity | Landfill gas to energy technology | Municipal solid waste,29,0,,,NSFC,2019M660489,National Natural Science Foundation of China
127,2-s2.0-85084811266,10.1016/j.techfore.2020.120051,S0040162519319249,,Policy targets behind green bonds for renewable energy: Do climate commitments matter?,ar,Article,Tolliver C.,60011047;121343469,Kyushu University;World Bank Disaster Risk Management (DRM) Hub,Fukuoka;Tokyo,Japan;Japan,3,"Tolliver, Clarence;Keeley, Alexander Ryota;Managi, Shunsuke",57210957666;57189391230;13609873900,60011047-121343469;60011047-121343469;60011047-121343469,2020-08-01 00:00:00,August 2020,Technological Forecasting and Social Change,00401625,14704,,Journal,157,,120051,,"Green bond markets are expanding precipitously and proceeds are increasingly being allocated to renewable energy. There is a gap in the empirical literature on the policies affecting green bond finance for the renewable energy assets critical to achieving Paris Agreement emissions reduction targets. To assess the impact that Nationally Determined Contributions (NDCs) to the Paris Agreement have on green bond finance for renewable energy, this study employed a difference-in-differences (DiD) analysis using an original panel dataset of $25 billion in green bond proceeds allocations in 66 countries between 2008 and 2017. An original normalized index of NDC robustness was constructed to measure unique NDC impacts on green bond disbursements to renewable energy. The results are the first to show that in the years following their submission in 2015, comparatively stringent NDCs demonstrated large positive impacts on green bond allocations to renewable energy with 99% statistical significance. These findings suggest that beyond conventional economic policy supports, climate commitments can drive global emissions reductions by inciting greater green bond finance for the renewable energy projects vital to achieving emissions reduction targets.",Difference-in-differences | Green bonds | Greenhouse gas emissions reductions | Nationally Determined Contributions (NDCs) | Policy supports | Renewable energy,128,0,,,MEXT,20H00648,"Ministry of Education, Culture, Sports, Science and Technology"
8,2-s2.0-85188885317,10.1016/j.esd.2024.101434,S0973082624000607,,Tourists' willingness to fund local investments in renewable energy: A contingent valuation study from the Galápagos Islands,ar,Article,Vásquez W.F.,60072059;60010537,Universidad San Francisco de Quito;Fairfield University,Quito;Fairfield,Ecuador;United States,5,"Vásquez, William F.;Mateus, Cristina;Loyola-Plúa, María Isabel;Torres-Suárez, José;Ochoa-Herrera, Valeria",26644510100;56583898900;58960956500;58960113600;24329555400,60010537;60072059;60072059;60072059;60072059,2024-06-01 00:00:00,June 2024,Energy for Sustainable Development,09730826,17600155126,23524669,Journal,80,,101434,,"Renewable energy technologies may have positive socioeconomic and environmental consequences at the local, regional, and global levels. However, transitioning to renewable energy sources requires substantial capital investments, which calls for alternative funding mechanisms, particularly in developing areas. In this study, we used the contingent valuation method to assess the economic feasibility of voluntary contributions from tourists to fund renewable energy projects in the Galápagos Islands, a renowned tourist destination. Of the 336 tourists who completed our survey, 42.3 % were willing to donate. Estimation results based on logit models indicate that the likelihood of giving is inversely related to the donation amount and positively related to the perceived consequentiality of our study and the tourists' familiarity with renewable energy. Conservative estimates indicate that the median tourist would make a one-time donation of US$ 85 to finance the transition to renewable energy. We conclude that voluntary donations from tourists can accelerate the transition to renewable energy and thus help the Galápagos Islands reach their goal of decarbonizing the islands by 2030.",Contingent valuation | Galapagos islands | Renewable energy | Responsible tourism | Willingness to pay,0,0,,,USFQ,2021-2022,Universidad San Francisco de Quito
10,2-s2.0-85187222567,10.1016/j.geothermics.2024.102983,S0375650524000725,,Sequentially optimized data acquisition for a geothermal reservoir,ar,Article,Corso A.,60012708;60008390;60003743,Stanford University;OMV Group;Department of Aeronautics and Astronautics,Stanford;Vienna;Stanford,United States;Austria;United States,5,"Corso, Anthony;Chiotoroiu, Maria;Clemens, Torsten;Zechner, Markus;Kochenderfer, Mykel J.",57215352626;57156455000;29667531500;56039435400;24824356000,60003743;60008390;60008390;60012708;60003743,2024-06-01 00:00:00,June 2024,Geothermics,03756505,22645,,Journal,120,,102983,,"Given the high energy demands for heating and cooling, and the currently limited use of renewable sources, there is a pressing need for efficient and economically viable geothermal development. However, the success of new geothermal reservoir projects hinges on numerous uncertain geological and economic factors. Prior to development, the project uncertainty can be reduced by performing costly data acquisition campaigns. The central question in these campaigns is: which data should be acquired in which order to determine the viability of the proposed project? Traditional methods based on value of information and other heuristics are insufficient for assessing large-scale multi-well geothermal projects. Our approach reformulates geothermal assessment as a partially observable Markov decision process (POMDP), employing algorithmic decision-making techniques to devise an approximately optimal data acquisition strategy. Applied to a real-world low-enthalpy geothermal project in Austria, our methodology increased the expected net present value of the project by nearly 30% over baseline methods (including human experts) by minimizing the risk of developing a non-profitable project. This advancement not only promises a more efficient path towards large-scale geothermal energy production but also sets a precedent for applying sophisticated decision-making frameworks in renewable energy projects.",Artificial intelligence | Data acquisition | Geothermal reservoirs | POMDPs | Sequential decision making under uncertainty,1,1,publisherhybridgold,Hybrid Gold,,undefined,
16,2-s2.0-85191450349,10.51599/are.2024.10.01.12,,,CHOICE MODELING APPROACH TO EVALUATE THE ECONOMIC VALUE OF RENEWABLE ENERGY DEVELOPMENT,ar,Article,Khai H.V.,60071386,Can Tho University,Can Tho,Viet Nam,4,"Khai, Huynh Viet;Tran, Huynh Le Thao;Ngan, Nguyen Van;Duyen, Tran Thi Thu",57223953396;59003912700;59004946200;57213823414,60071386;60071386;60071386;60071386,2024-03-20 00:00:00,20 March 2024,Agricultural and Resource Economics,,21101051084,2414584X,Journal,10,1,,284-300,"Purpose. This research aims to quantify the willingness to pay (WTP) of urban residents in the Mekong Delta for the environmental and social benefits associated with renewable energy projects. By analysing their preferences and priorities regarding renewable energy implementation, this study aims to contribute to the increasing knowledge on the drivers of sustainable energy transitions in developing regions. Methodology / approach. This paper leverages a choice modeling (CM) framework to analyse the economic viability of renewable energy investments in Vietnam. The CM technique is advantageous for its ability to capture individual preferences for complex goods or services characterised by multiple attributes and trade-offs. This enables a detailed assessment of the diverse economic values associated with renewable energy sources, beyond their traditional energy generation capacity, including environmental externalities, social impacts, and potential synergies with other sectors. Results. Residents showed significant WTP for renewable energy initiatives improving landscape aesthetics, wildlife habitats, air quality, and job opportunities. Higher income, education, and knowledge level are positively associated with greater WTP. Younger respondents showed a strong position in favor of renewable energy sources. Households with more children were less likely to support the status quo, and married respondents were more pro-renewable. Perceived community involvement emerged as a significant factor in supporting renewable energy policies. Originality / scientific novelty. This study represents a novel application of CM within the Vietnamese context, providing valuable quantitative data for policymakers and stakeholders. By estimating WTP for specific renewable energy attributes, we inform cost-benefit assessments and support the development of efficient policies for managing renewable energy investments. This data facilitates resource allocation and prioritisation of projects with the highest societal value. Practical value / implications. Our findings underscore the crucial role of public awareness and education in driving renewable energy implementation. Residents with a clear understanding of the benefits demonstrate a higher WTP. Hence, we recommend a multifaceted communication strategy to educate the public about the environmental, social, and economic benefits of renewable energy. This involves utilising diverse channels like community meetings, media outreach, online platforms, and expert engagement to disseminate accurate and engaging information. By fostering knowledge and understanding, we can cultivate a strong public mandate for renewable energy investment, facilitating informed decision-making and accelerating the transition to a sustainable energy future in the Mekong Delta.",choice experiment (CE) | climate change | sustainable development | Vietnam | willingness to pay (WTP),0,1,publisherfullgold,Gold,,undefined,
